Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
Cre06.g278195	Cre06.g250100_4532.2.p;Cre06.g250100_4532.1.p	Cre06.g250100_4532.2.p;Cre06.g250100_4532.1.p	38902|0	38902	19451	2	0|0	0.5	1	0.5	1	0.5	-0.21	194510	0	
Cre06.g278195	Cre06.g258800_4532.1.p	Cre06.g258800_4532.1.p	26496|0	26496	13248	2	0|0	0.5	1	0.5	1	0.5	-0.21	132480	0	
Cre06.g278195	Cre12.g498600_4532.1.p;Cre06.g263450_4532.3.p;Cre06.g263450_4532.2.p;Cre06.g263450_4532.1.p	Cre12.g498600_4532.1.p;Cre06.g263450_4532.3.p;Cre06.g263450_4532.2.p;Cre06.g263450_4532.1.p	53140|0	53140	26570	2	0|0	0.5	1	0.5	1	0.5	-0.21	265700	0	
Cre06.g278195	Cre06.g282800_4532.3.p;Cre06.g282800_4532.2.p;Cre06.g282800_4532.1.p	Cre06.g282800_4532.3.p;Cre06.g282800_4532.2.p;Cre06.g282800_4532.1.p	30352|0	30352	15176	2	0|0	0.5	1	0.5	1	0.5	-0.21	151760	0	
Cre06.g278195	Cre07.g331550_4532.1.p	Cre07.g331550_4532.1.p	17012|0	17012	8506	2	0|0	0.5	1	0.5	1	0.5	-0.21	85060	0	
Cre06.g278195	Cre08.g800885_4532.1.p	Cre08.g800885_4532.1.p	56884|0	56884	28442	2	0|0	0.5	1	0.5	1	0.5	-0.21	284420	0	
Cre06.g278195	Cre09.g389150_4532.1.p	Cre09.g389150_4532.1.p	29368|0	29368	14684	2	0|0	0.5	1	0.5	1	0.5	-0.21	146840	0	
Cre06.g278195	Cre09.g397697_4532.1.p	Cre09.g397697_4532.1.p	10564|0	10564	5282	2	0|0	0.5	1	0.5	1	0.5	-0.21	52820	0	
Cre06.g278195	Cre10.g452800_4532.1.p	Cre10.g452800_4532.1.p	38650|0	38650	19325	2	0|0	0.5	1	0.5	1	0.5	-0.21	193250	0	
Cre06.g278195	Cre11.g467547_4532.1.p;Cre11.g467547_4532.2.p	Cre11.g467547_4532.1.p;Cre11.g467547_4532.2.p	8830|0	8830	4415	2	0|0	0.5	1	0.5	1	0.5	-0.21	44150	0	
