Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
Cre03.g175800	CreCp.g802303_4532.1.p	CreCp.g802303_4532.1.p	7|1	8	4.00	2	1|1	0.50	0.99	0.50	0.99	0.50	-2.85	4.00	0.34	
Cre03.g175800	Cre14.g630847_4532.2.p	Cre14.g630847_4532.2.p	3|0	3	1.50	2	1|0	0.42	0.83	0.42	0.83	0.42	-2.66	3.00	0.43	
Cre03.g175800	Cre02.g119150_4532.1.p	Cre02.g119150_4532.1.p	1|1	2	1.00	2	0|0	0.00	0.00	0.00	0.00	0.00	1.28	10.00	0.70	
Cre03.g175800	Cre16.g801914_4532.2.p	Cre16.g801914_4532.2.p	1|1	2	1.00	2	1|1	0.00	0.00	0.00	0.00	0.00	-2.85	1.00	0.70	
Cre03.g175800	Cre02.g115200_4532.1.p	Cre02.g115200_4532.1.p	2|2	4	2.00	2	4|0	0.00	0.00	0.00	0.00	0.00	-4.34	1.00	0.70	
Cre03.g175800	Cre03.g144807_4532.2.p	Cre03.g144807_4532.2.p	2|1	3	1.50	2	1|1	0.10	0.20	0.10	0.20	0.10	-2.85	1.50	0.55	
Cre03.g175800	Cre14.g621501_4532.1.p	Cre14.g621501_4532.1.p	1|1	2	1.00	2	2|1	0.00	0.00	0.00	0.00	0.00	-4.65	0.67	0.70	
Cre03.g175800	Cre16.g694208_4532.1.p	Cre16.g694208_4532.1.p	1|0	1	0.50	2	1|2	0.00	0.00	0.00	0.00	0.00	-6.46	0.33	0.70	
Cre03.g175800	Cre05.g237450_4532.3.p	Cre05.g237450_4532.3.p	2|1	3	1.50	2	0|0	0.48	0.96	0.48	0.96	0.48	1.28	15.00	0.36	
Cre03.g175800	Cre06.g279700_4532.4.p	Cre06.g279700_4532.4.p	3|0	3	1.50	2	1|0	0.42	0.83	0.42	0.83	0.42	-2.66	3.00	0.43	
Cre03.g175800	Cre02.g093650_4532.1.p	Cre02.g093650_4532.1.p	1|0	1	0.50	2	2|1	0.00	0.00	0.00	0.00	0.00	-6.46	0.33	0.70	
Cre03.g175800	Cre07.g335050_4532.1.p	Cre07.g335050_4532.1.p	1|1	2	1.00	2	0|1	0.00	0.00	0.00	0.00	0.00	-1.05	2.00	0.70	
Cre03.g175800	Cre13.g588959_4532.1.p	Cre13.g588959_4532.1.p	1|1	2	1.00	2	1|0	0.00	0.00	0.00	0.00	0.00	-1.05	2.00	0.70	
Cre03.g175800	Cre10.g456200_4532.1.p	Cre10.g456200_4532.1.p	2|0	2	1.00	2	1|2	0.02	0.04	0.02	0.04	0.02	-6.46	0.67	0.61	
Cre03.g175800	Cre12.g519180_4532.1.p	Cre12.g519180_4532.1.p	4|1	5	2.50	2	1|0	0.48	0.95	0.48	0.95	0.48	-1.05	5.00	0.42	
Cre03.g175800	Cre04.g211800_4532.1.p	Cre04.g211800_4532.1.p	3|0	3	1.50	2	0|1	0.42	0.83	0.42	0.83	0.42	-2.66	3.00	0.43	
